DATE,CRIME_COUNT,ROLLING_MEAN_3,ROLLING_STD_3,GROWTH_RATE,LAG_1,LAG_2,LAG_3,VOLATILITY
2001-09-01,3373,3428.6666666666665,87.065109735955,-0.04420515726834795,3529.0,3384.0,3482.0,0.02539328497062658
2001-10-01,3399,3433.6666666666665,83.57830659527559,0.007708271568336755,3373.0,3529.0,3384.0,0.024340832908050364
2001-11-01,3243,3338.3333333333335,83.57830659527559,-0.04589585172109445,3399.0,3373.0,3529.0,0.02503593807147546
2001-12-01,3264,3302.0,84.65813605319077,0.00647548566142464,3243.0,3399.0,3373.0,0.025638442172377582
2002-01-01,3561,3356.0,177.84543851333538,0.0909926470588236,3264.0,3243.0,3399.0,0.05299327726857431
2002-02-01,2956,3260.3333333333335,302.5166662075561,-0.16989609660207805,3561.0,3264.0,3243.0,0.09278703594956224
2002-03-01,3357,3291.3333333333335,307.7991769536331,0.13565629228687426,2956.0,3561.0,3264.0,0.09351808090549922
2002-04-01,2814,3042.3333333333335,281.60669973090836,-0.16175156389633605,3357.0,2956.0,3561.0,0.09256273684592145
2002-05-01,3070,3080.3333333333335,271.647443082636,0.09097370291400142,2814.0,3357.0,2956.0,0.08818767765911785
2002-06-01,3260,3048.0,223.81242146047362,0.061889250814332275,3070.0,2814.0,3357.0,0.07342927213270131
2002-07-01,3289,3206.3333333333335,118.95517362996027,0.008895705521472452,3260.0,3070.0,2814.0,0.03710006454827745
2002-08-01,3271,3273.3333333333335,14.640127504020562,-0.00547278808148377,3289.0,3260.0,3070.0,0.004472544043998135
2002-09-01,3203,3254.3333333333335,45.357836515137976,-0.02078874961785382,3271.0,3289.0,3260.0,0.013937673824174324
2002-10-01,3244,3239.3333333333335,34.239353576462086,0.012800499531689047,3203.0,3271.0,3289.0,0.010569876592857198
2002-11-01,3068,3171.6666666666665,92.08872533233358,-0.054254007398273685,3244.0,3203.0,3271.0,0.029034805674934393
2002-12-01,3207,3173.0,92.7954740275658,0.045306388526727526,3068.0,3244.0,3203.0,0.029245343217007818
2003-01-01,3201,3158.6666666666665,78.57692621459545,-0.00187090739008422,3207.0,3068.0,3244.0,0.02487661235160261
2003-02-01,2519,2975.6666666666665,395.4963126671777,-0.21305841924398627,3201.0,3207.0,3068.0,0.1329101532431425
2003-03-01,2715,2811.6666666666665,351.1258084125032,0.0778086542278682,2519.0,3201.0,3207.0,0.12488173387522343
2003-04-01,2748,2660.6666666666665,123.7914913608116,0.012154696132596676,2715.0,2519.0,3201.0,0.046526493871515265
2003-05-01,2794,2752.3333333333335,39.677869566471266,0.016739446870451147,2748.0,2715.0,2519.0,0.014416084376821339
2003-06-01,2871,2804.3333333333335,62.14767359550875,0.027559055118110187,2794.0,2748.0,2715.0,0.022161300461966748
2003-07-01,2866,2843.6666666666665,43.0851869362765,-0.0017415534656913811,2871.0,2794.0,2748.0,0.015151278960125367
2003-08-01,3236,2991.0,212.19095173923077,0.12909979064898813,2866.0,2871.0,2794.0,0.07094314668646967
2003-09-01,2872,2991.3333333333335,211.90878540856656,-0.1124845488257108,3236.0,2866.0,2871.0,0.07084091333025402
2003-10-01,2801,2969.6666666666665,233.36737846865805,-0.024721448467966534,2872.0,3236.0,2866.0,0.0785836946240851
2003-11-01,2615,2762.6666666666665,132.71900140271487,-0.0664048554087826,2801.0,2872.0,3236.0,0.04804017907916803
2003-12-01,2364,2593.3333333333335,219.30420272610792,-0.09598470363288714,2615.0,2801.0,2872.0,0.08456460259361487
2004-01-01,2410,2463.0,133.6300864326613,0.019458544839255465,2364.0,2615.0,2801.0,0.05425500870185193
2004-02-01,2517,2430.3333333333335,78.50053078377145,0.04439834024896272,2410.0,2364.0,2615.0,0.03230031440835473
2004-03-01,2992,2639.6666666666665,309.7843335827909,0.18871672626142222,2517.0,2410.0,2364.0,0.11735736844909367
2004-04-01,2622,2710.3333333333335,249.51619853896042,-0.12366310160427807,2992.0,2517.0,2410.0,0.09206107435947378
2004-05-01,2739,2784.3333333333335,189.1198914269303,0.04462242562929064,2622.0,2992.0,2517.0,0.06792286295711611
2004-06-01,2683,2681.3333333333335,58.51780355869422,-0.020445418035779483,2739.0,2622.0,2992.0,0.02182414354501276
2004-07-01,2612,2678.0,63.64746656388285,-0.026462914647782387,2683.0,2739.0,2622.0,0.02376679109928411
2004-08-01,2699,2664.6666666666665,46.306946923047335,0.03330781010719752,2612.0,2683.0,2739.0,0.017378138700167876
2004-09-01,2651,2654.0,43.57751713900859,-0.017784364579473855,2699.0,2612.0,2683.0,0.016419561845896227
2004-10-01,2734,2694.6666666666665,41.66933324801256,0.03130894002263296,2651.0,2699.0,2612.0,0.015463631833750333
2004-11-01,2541,2642.0,96.81425514871553,-0.07059253840526702,2734.0,2651.0,2699.0,0.036644305506705346
2004-12-01,2319,2531.3333333333335,207.6688068375555,-0.08736717827626916,2541.0,2734.0,2651.0,0.08203929688078306
2005-01-01,2421,2427.0,111.12155506471566,0.043984476067270295,2319.0,2541.0,2734.0,0.04578556038925244
2005-02-01,2423,2387.6666666666665,59.4754851458479,0.0008261049153241995,2421.0,2319.0,2541.0,0.024909459086631818
2005-03-01,2287,2377.0,77.94870107962447,-0.05612876599257122,2423.0,2421.0,2319.0,0.03279289065192447
2005-04-01,2221,2310.3333333333335,103.00161811027044,-0.02885876694359424,2287.0,2423.0,2421.0,0.04458301173435454
2005-05-01,2486,2331.3333333333335,137.95047420481737,0.1193156235929762,2221.0,2287.0,2423.0,0.059172350960030325
2005-06-01,2357,2354.6666666666665,132.515407909171,-0.05189058728881735,2486.0,2221.0,2287.0,0.05627777799087103
2005-07-01,2476,2439.6666666666665,71.76582287784343,0.050487908358082256,2357.0,2486.0,2221.0,0.029416241103091996
2005-08-01,2571,2468.0,107.22406446316357,0.038368336025848215,2476.0,2357.0,2486.0,0.04344573114390744
2005-09-01,2519,2522.0,47.57099956907211,-0.020225593154414634,2571.0,2476.0,2357.0,0.018862410614223675
2005-10-01,2388,2492.6666666666665,94.29916931412482,-0.05200476379515684,2519.0,2571.0,2476.0,0.03783063759593133
2005-11-01,2388,2431.6666666666665,75.63288526384515,0.0,2388.0,2519.0,2571.0,0.031103311280539475
2005-12-01,2083,2286.3333333333335,176.09183210283592,-0.1277219430485762,2388.0,2388.0,2519.0,0.07701931714659684
2006-01-01,2165,2212.0,157.83852508180644,0.039366298607777184,2083.0,2388.0,2388.0,0.07135557191763402
2006-02-01,1951,2066.3333333333335,107.96913139102946,-0.0988452655889146,2165.0,2083.0,2388.0,0.052251555762717915
2006-03-01,2153,2089.6666666666665,120.2386515781568,0.10353664787288563,1951.0,2165.0,2083.0,0.05753963227539806
2006-04-01,2087,2063.6666666666665,103.00161811026749,-0.03065490013934047,2153.0,1951.0,2165.0,0.049911945458052415
2006-05-01,2198,2146.0,55.83009940883199,0.05318639195016761,2087.0,2153.0,1951.0,0.026015889752484617
2006-06-01,2142,2142.3333333333335,55.50075074567366,-0.02547770700636942,2198.0,2087.0,2153.0,0.025906683092737044
2006-07-01,2172,2170.6666666666665,28.023799409312602,0.014005602240896309,2142.0,2198.0,2087.0,0.0129102270006047
2006-08-01,2553,2289.0,229.1222381175604,0.1754143646408839,2172.0,2142.0,2198.0,0.10009708961011814
2006-09-01,2345,2356.6666666666665,190.76774709927614,-0.08147277712495105,2553.0,2172.0,2142.0,0.08094812465315819
2006-10-01,2460,2452.6666666666665,104.19372981774575,0.049040511727078906,2345.0,2553.0,2172.0,0.0424818142774174
2006-11-01,2060,2288.3333333333335,205.93283694771316,-0.16260162601626016,2460.0,2345.0,2553.0,0.08999249975865105
2006-12-01,2016,2178.6666666666665,244.63305854551507,-0.021359223300970842,2060.0,2460.0,2345.0,0.11228567558698672
2007-01-01,2041,2039.0,22.068076490714088,0.012400793650793718,2016.0,2060.0,2460.0,0.010822989941497836
2007-02-01,1886,1981.0,83.21658488546595,-0.07594316511513965,2041.0,2016.0,2060.0,0.042007362385394216
2007-03-01,2041,1989.3333333333333,89.48929172439183,0.08218451749734879,1886.0,2041.0,2016.0,0.044984563534379275
2007-04-01,1876,1934.3333333333333,92.51126057585235,-0.08084272415482607,2041.0,1886.0,2041.0,0.047825914480020174
2007-05-01,1938,1951.6666666666667,83.3446658961044,0.03304904051172697,1876.0,2041.0,1886.0,0.04270435485709875
2007-06-01,2611,2141.6666666666665,407.63504919637785,0.34726522187822506,1938.0,1876.0,2041.0,0.19033543153138266
2007-07-01,2363,2304.0,340.3571653425267,-0.09498276522405213,2611.0,1938.0,1876.0,0.14772446412436055
