Latitude,Longitude,Cluster
49.27999173,-123.0801229,1
49.27999492,-123.0803177,1
49.28028756,-123.0660726,1
49.28028756,-123.0660726,1
49.28028756,-123.0660726,1
49.22810821,-123.1983341,4
49.28000968,-123.0812138,1
49.28000968,-123.0812138,1
49.28830568,-123.1401612,2
49.28830568,-123.1401612,2
49.28111638,-123.0793582,1
49.28093736,-123.0805563,1
49.28092783,-123.0811945,1
49.26245675,-123.0802765,1
49.26245675,-123.0802765,1
49.28856788,-123.1399436,2
49.28846356,-123.139924,2
49.26245675,-123.0802765,1
49.26245675,-123.0802765,1
49.28858194,-123.1399226,2
49.26245675,-123.0802765,1
49.26237794,-123.0806889,1
49.28515758,-123.1240882,2
49.28515758,-123.1240882,2
49.27930204,-123.0677935,1
49.22431735,-123.0336964,3
49.22451291,-123.0336872,3
49.28891793,-123.139234,2
49.28515758,-123.1240882,2
49.28515758,-123.1240882,2
49.27819928,-123.081249,1
49.26238226,-123.0812026,1
49.27929808,-123.0674925,1
49.27929808,-123.0674925,1
49.26238226,-123.0812026,1
49.26238226,-123.0812026,1
49.26525922,-123.0802647,1
49.21282806,-123.082996,0
49.21282806,-123.082996,0
49.21384849,-123.0817228,0
49.26038189,-123.1130009,2
49.28905059,-123.1390313,2
49.26180388,-123.1971534,4
49.27937901,-123.0673896,1
49.27081253,-123.1550482,4
49.26005568,-123.1060321,2
49.22419254,-123.0258655,3
49.22426423,-123.0258645,3
49.27928905,-123.0667902,1
49.27928905,-123.0667902,1
49.27928905,-123.0667902,1
49.28937389,-123.1387146,2
49.27928905,-123.0667902,1
49.29516074,-123.1368381,2
49.27928637,-123.0665895,1
49.28931571,-123.1386258,2
49.28601684,-123.1204749,2
49.26937486,-123.0285234,3
49.27298918,-123.1001569,2
49.27928637,-123.0665895,1
49.22410086,-123.0251382,3
49.26937486,-123.0285234,3
49.26937486,-123.0285234,3
49.27768695,-123.1052863,2
49.22059928,-123.0850766,0
49.26998678,-123.1055998,2
49.28339195,-123.1030021,2
49.21643362,-123.0853742,0
49.26500126,-123.0736045,1
49.2580023,-123.197325,4
49.26935465,-123.0364412,1
49.26422289,-123.1218063,2
49.2473909,-123.0699509,1
49.28401144,-123.1138387,2
49.29003125,-123.1290209,2
49.28105802,-123.1075896,2
49.24950519,-123.1390972,4
49.22423016,-123.0488689,3
49.27936739,-123.0664867,1
49.27936739,-123.0664867,1
49.24904554,-123.1154071,0
49.25012544,-123.1786452,4
49.25012544,-123.1786452,4
49.26541063,-123.1967166,4
49.26541063,-123.1967166,4
49.25012544,-123.1786452,4
49.24960446,-123.146119,4
49.27551468,-123.1217793,2
49.20686281,-123.1102292,0
49.28188513,-123.0820425,1
49.28199387,-123.1072066,2
49.28195856,-123.0814825,1
49.28195856,-123.0814825,1
49.28977895,-123.1294053,2
49.27820186,-123.0814218,1
49.27820186,-123.0814218,1
49.22417381,-123.0365893,3
49.28211943,-123.0680914,1
49.28211943,-123.0680914,1
49.27820186,-123.0814218,1
49.27820186,-123.0814218,1
49.28057392,-123.1152194,2
49.2926165,-123.1337311,2
49.28210096,-123.0664457,1
49.26792622,-123.0579799,1
49.2926165,-123.1337311,2
49.2945021,-123.1366244,2
49.27124385,-123.0669288,1
49.28712986,-123.1253418,2
49.271243,-123.0666819,1
49.2260328,-123.1537856,4
49.28712986,-123.1253418,2
49.28440884,-123.1210998,2
49.22858224,-123.1984526,4
49.28440884,-123.1210998,2
49.28899768,-123.1282344,2
49.28899768,-123.1282344,2
49.24815768,-123.1533301,4
49.24815768,-123.1533301,4
49.27870583,-123.1122591,2
49.2631795,-123.1128973,2
49.2638589,-123.1553013,4
49.2638917,-123.1576517,4
49.22586657,-123.1268263,0
49.26339915,-123.1266287,2
49.27044914,-123.0669097,1
49.27044261,-123.0665215,1
49.29019095,-123.1404069,2
49.26304134,-123.1068357,2
49.27834042,-123.1244865,2
49.26328938,-123.1199073,2
49.26360734,-123.1410336,2
49.26436245,-123.1858851,4
49.26436245,-123.1858851,4
49.26489261,-123.1623832,4
49.26489261,-123.1623832,4
49.26529539,-123.1360764,2
49.26537061,-123.1408599,2
49.26492276,-123.1147431,2
49.27357718,-123.1470872,4
49.2647736,-123.1108942,2
49.27830232,-123.1243676,2
49.2735077,-123.1465518,4
49.20697184,-123.1346669,0
49.20844469,-123.1288634,0
49.2084117,-123.1261587,0
49.20836882,-123.1242227,0
49.20836882,-123.1242227,0
49.26586213,-123.1197898,2
49.26586213,-123.1197898,2
49.24802806,-123.1366994,4
49.29161834,-123.1379104,2
49.26630015,-123.1456734,4
49.21316421,-123.1146508,0
49.21502489,-123.1475412,0
49.21932485,-123.1401385,0
49.22483896,-123.0801305,0
49.22153322,-123.1285129,0
49.27763938,-123.125369,2
49.27777415,-123.1253417,2
49.2911082,-123.1369468,2
49.22410836,-123.1417589,0
49.22536443,-123.1209005,0
49.22456385,-123.0411203,3
49.2783086,-123.1323995,2
49.2681826,-123.1575142,4
