DATE,CRIME_COUNT,ROLLING_MEAN_3,ROLLING_STD_3,GROWTH_RATE,LAG_1,LAG_2,LAG_3,VOLATILITY,ANOMALY,ANOMALY_SCORE
2000-11-01,3914,4117.666666666667,176.82288690476022,-0.0696458283812693,4207.0,4232.0,4032.0,0.0429424966173626,0,0.02282021369336973
2000-12-01,3701,3940.6666666666665,254.0518319818493,-0.0544200306591722,3914.0,4207.0,4232.0,0.0644692518986252,0,0.02805384632990393
2001-01-01,3573,3729.3333333333335,172.25659155264267,-0.0345852472304782,3701.0,3914.0,4207.0,0.0461896473594858,0,0.06504706999829324
2001-02-01,3177,3483.6666666666665,273.18369887922296,-0.1108312342569269,3573.0,3701.0,3914.0,0.0784184381052214,0,0.07031186951547663
2001-03-01,3567,3439.0,226.91848756767396,0.1227573182247403,3177.0,3573.0,3701.0,0.0659838579725716,0,0.09415789555494708
2001-04-01,3549,3431.0,220.1544912101513,-0.0050462573591253,3567.0,3177.0,3573.0,0.0641662754911545,0,0.10526605264073224
2001-05-01,3663,3593.0,61.28621378418312,0.0321217244294167,3549.0,3567.0,3177.0,0.0170571148856618,0,0.07737440615682711
2001-06-01,3482,3564.6666666666665,91.51138362703256,-0.0494130494130493,3663.0,3549.0,3567.0,0.0256717926763697,0,0.12971476963797374
2001-07-01,3384,3509.6666666666665,141.54269085097226,-0.0281447443997702,3482.0,3663.0,3549.0,0.0403293828998876,0,0.12405324155274666
2001-08-01,3529,3465.0,73.9797269527305,0.0428486997635932,3384.0,3482.0,3663.0,0.0213505705491285,0,0.11607689530292942
2001-09-01,3373,3428.6666666666665,87.065109735955,-0.0442051572683479,3529.0,3384.0,3482.0,0.0253932849706265,0,0.13787565291087783
2001-10-01,3399,3433.6666666666665,83.57830659527559,0.0077082715683367,3373.0,3529.0,3384.0,0.0243408329080503,0,0.13485733935350736
2001-11-01,3243,3338.333333333333,83.57830659527559,-0.0458958517210944,3399.0,3373.0,3529.0,0.0250359380714754,0,0.1349607683120086
2001-12-01,3264,3302.0,84.65813605319077,0.0064754856614246,3243.0,3399.0,3373.0,0.0256384421723775,0,0.1397160196934093
2002-01-01,3561,3356.0,177.84543851333538,0.0909926470588236,3264.0,3243.0,3399.0,0.0529932772685743,0,0.11082351908257693
2002-02-01,2956,3260.333333333333,302.5166662075561,-0.169896096602078,3561.0,3264.0,3243.0,0.0927870359495622,0,0.07701879350156693
2002-03-01,3357,3291.333333333333,307.7991769536331,0.1356562922868742,2956.0,3561.0,3264.0,0.0935180809054992,0,0.06464055899289078
2002-04-01,2814,3042.333333333333,281.6066997309084,-0.161751563896336,3357.0,2956.0,3561.0,0.0925627368459214,0,0.06617330764801
2002-05-01,3070,3080.333333333333,271.647443082636,0.0909737029140014,2814.0,3357.0,2956.0,0.0881876776591178,0,0.08582663331618112
2002-06-01,3260,3048.0,223.8124214604736,0.0618892508143322,3070.0,2814.0,3357.0,0.0734292721327013,0,0.10462054648201469
2002-07-01,3289,3206.333333333333,118.95517362996029,0.0088957055214724,3260.0,3070.0,2814.0,0.0371000645482774,0,0.11393743813150592
2002-08-01,3271,3273.333333333333,14.640127504020562,-0.0054727880814837,3289.0,3260.0,3070.0,0.0044725440439981,0,0.04605076096889238
2002-09-01,3203,3254.333333333333,45.357836515137976,-0.0207887496178538,3271.0,3289.0,3260.0,0.0139376738241743,0,0.11746673658358053
2002-10-01,3244,3239.333333333333,34.239353576462086,0.012800499531689,3203.0,3271.0,3289.0,0.0105698765928571,0,0.10037449690209688
2002-11-01,3068,3171.6666666666665,92.08872533233358,-0.0542540073982736,3244.0,3203.0,3271.0,0.0290348056749343,0,0.13533503975021083
2002-12-01,3207,3173.0,92.7954740275658,0.0453063885267275,3068.0,3244.0,3203.0,0.0292453432170078,0,0.13500722955143946
2003-01-01,3201,3158.6666666666665,78.57692621459545,-0.0018709073900842,3207.0,3068.0,3244.0,0.0248766123516026,0,0.13983044911521342
2003-02-01,2519,2975.6666666666665,395.4963126671777,-0.2130584192439862,3201.0,3207.0,3068.0,0.1329101532431425,1,-0.011403575079914852
2003-03-01,2715,2811.6666666666665,351.1258084125032,0.0778086542278682,2519.0,3201.0,3207.0,0.1248817338752234,0,0.014586049263555112
2003-04-01,2748,2660.6666666666665,123.7914913608116,0.0121546961325966,2715.0,2519.0,3201.0,0.0465264938715152,0,0.11622030599574085
